name,countries,n_as
CBRE Pty Limited,AU,6
Washington State University,US,6
Responsible Internet Sustainability Effort inc,PH,6
Comfortel Ltd.,KZ;RU,6
"Beijing Xiaoju Science and Technology Co., Ltd.",CN,6
Taiwan Network Information Center,TW,6
KOESIO Networks SAS,FR,6
"Mitel Networks, Inc.",US,6
VIRTUAL TELECOM SP. Z O.O.,PL,6
Gtelecom Pty Ltd,AU,6
Research Institute Of Petroleum Exploration and Development,CN,6
Intervolve Pty Ltd,AU,6
DIDWW Ireland Limited,IE,6
Star Satellite Communications Company - PJSC,AE,6
Zajil International Telecom Company KSCC,KW,6
Hostopia Australia Web Pty Ltd,AU,6
Aptum Technologies,CA,6
"Guangzhou navigation information technology co., LTD",CN,6
"Lunavi, Inc.",US,6
Bertram Communications LLC,US,6
"Atlantic Metro Communications II, Inc.",US,6
Metro Communications Company,US,6
SunnyVision Limited,HK,6
Osipenko Alexander Nikolaevich,RU,6
baten-lastendienst Logius,NL,6
NTT Australia Solutions Pty Ltd,AU,6
Pitline Ltd,UA,6
LEARN,US,6
"""OBIT"" Ltd.",RU,6
Terrence de Kat,NL,6
Eranium B.V.,NL,6
"Natural Wireless, LLC",US,6
"Storm for Information Technology, Internet Services, Communications, Electronic Solutions, Software, and Automation LLC",IQ,6
Cloudie Networks LLC,US,6
servinga GmbH,DE,6
Telecommunication Sevice Providers Association of Kenya - TESPOK,KE,6
Australian Defence Organisation,AU,6
LASOTEL SAS,FR,6
Khalifa University,AE,6
Internet service provider association - DRC,CD,6
Dustin NL B.V.,NL,6
INTERKVM HOST SRL,RO,6
Ooredoo Q.S.C.,QA,6
"""R-TEL"" LLC",UA,6
Cyber_Folks SRL,RO,6
iNet Ltd,SC,6
3ds Communications LLC,US,6
zColo,US,6
"Hawaiian Telcom Services Company, Inc.",US,6
"Surf Air Wireless, LLC",US,6
Patron Technology Persia Ltd,IR,6
Te Pukenga - New Zealand Institute of Skills and Technology,NZ,6
BHARAT-PUBLIC-DNS,IN,6
Altafiber,US,6
Jiangsu Cloud Ever Information Technology Co. Ltd.,CN,6
Southern Communications Ltd,GB,6
ARIN Operations,US,6
"Svensk Teleutveckling & Produktinnovation, STUPI AB",SE,6
IP Excess AB,SE,6
ThinkEx Holdings Pty Ltd,AU,6
Unified National Networks,BN,6
"TCC Technology Co., Ltd.",TH,6
"MIC GLOBAL SERVICES, LLC",US,6
"UAB ""Bite Lietuva""",LT,6
"GMO Internet, Inc.",JP,6
AT&T WorldNet,US,6
Glesys AB,SE,6
ORANGE MOLDOVA S.A.,MD,6
CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet,CA,6
Iran Telecommunication Company PJS,IR,6
4b42 UG,DE,6
DE CIX MALAYSIA SDN. BHD.,MY,6
My Net Fone Limited,AU,6
Arkansas State University,US,6
Ministry of Foreign Affairs,EG;KW;PL;QA;SA;TH,6
"Samart Infonet Co., Ltd.",TH,6
Hong Kong Beecloud System Technology Services Limited,HK,6
Sunoaki Network LLC,US,6
"Flextronics International USA, Inc.",US,6
CENIC,US,6
RAIN GROUP HOLDINGS (PTY) LTD,ZA,6
JSC Mediasoft ekspert,RU,6
IGRA-SERVICE LLC,RU,6
Nomotech SAS,FR,6
Nextpertise B.V.,NL,6
Communications & Communicate Nepal Pvt Ltd,NP,6
QLD VoIP Services,AU,6
Neterra Ltd.,BG,6
"Taiwan Mobile Co., Ltd.",TW,6
"Internet Solution & Service Provider Co., Ltd.",TH,6
GoCodeIT Inc,CA,6
"Tecnocratica Centro de Datos, S.L.",ES,6
Equant Inc,US,6
Valor Holdings LLC,US,6
C1CX,US,6
PT INTERLINK TECHNOLOGY,ID,6
CoreComm Internet Services Inc,US,6
Antonios A. Chariton,GR,6
"""Domain names registrar REG.RU"", Ltd",RU,6
Equinix Australia Pty Ltd,AU,6
"BBIX USA, INC.",US,6
Metronet,HN;US,6
London Internet Exchange Ltd.,GB,6
Internet Resources Management SRL,RO,6
CMC Telecom Infrastructure Company,VN,5
Vivicta Sweden AB,SE,5
"Groq, Inc.",US,5
PRT Systems Limited,GB,5
Proen Corp Public Company Limited,TH,5
IQVIA SOLUTIONS HQ LTD,GB,5
SYN LTD,GB,5
Cynergic Pty Ltd,AU,5
Stanford University,US,5
XYZ Telecom Pty Ltd,AU,5
Colocation America Corporation,US,5
BDX DC Services (HK) Limited,HK,5
Hutchison Drei Austria GmbH,AT,5
Telemach Hrvatska d.o.o.,HR,5
FreedomNet,US,5
Petersburg Internet Network ltd.,RU,5
WS Telecom Inc,US,5
Nataliya Vasylivna Protsykevych,UA,5
PingCo Pty Ltd,AU,5
Kathmandu University,NP,5
PT. Hawk Teknologi Solusi,ID,5
AFRINIC,MU,5
Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun,RS,5
Atlantic IXPs Inc.,CA,5
Leisure and Cultural Services Department,HK,5
Vietnam Internet Network Information Center,VN,5
Naquadria S.R.L.,IT,5
"Privredno Drustvo Za Trgovinu I Usluge Stepanovic & Sipka Doo, Beograd",RS,5
Multiplay Sp. z o.o.,PL,5
TenSpire Network,US,5
"JSC ""Oil Transportation and Production Telecommunications""",RU,5
AFNIC (Association Francaise pour le Nommage Internet en Cooperation),FR,5
JSC Selectel,RU,5
LEVEL3 CARRIER LIMITED,BD,5
"Cambodian Network Exchange Co., Ltd.",KH,5
Dod Joint Spectrum Center,US,5
NETPLUZ HOLDINGS PRIVATE LIMITED,SG,5
"Strong Technology, LLC.",US,5
Syrion Sp. z o.o.,PL,5
NUSO,US,5
New Wave Communications,US,5
RingSquared,US,5
Aubrey Rose,US,5
SIA RixHost,LV,5
Federal State Budgetary Educational Institution of Higher Education Lomonosov Moscow State University,RU,5
Canadian Research Network,CA,5
"Japan Internet Xing Co., Ltd.",JP,5
PRIZZ TELECOM SAS,FR,5
Ministry of Communications and Information Technology,EG,5
Japan Network Information Center,JP,5
DEDICATED SERVERS AUSTRALIA,AU,5
CITEC,AU,5
Arpinet LLC,AM,5
Nemerov Evgeniy Vladimirovish PE,RU,5
Viva Armenia CJSC,AM,5
KazNIC Organization,KZ,5
"LLC ""VECHIR TELECOM""",UA,5
Next Online Ltd.,BD,5
Sixnet Operation Ltd,GB,5
"National Research Center ""Kurchatov Institute""",RU,5
Ellucian Company LP,US,5
Init7 (Switzerland) Ltd.,CH,5
Los Nettos,US,5
Telegram Messenger Inc,VG,5
FBW NETWORKS SAS,FR,5
UAB Cherry Servers,LT,5
JSC Comcor,RU,5
Talk Straight Ltd.,GB,5
Webair Internet Development Company Inc.,US,5
"OOO ""ZVI Telecom""",RU,5
Summit Communications Limited,BD,5
King Abdul Aziz City for Science and Technology,SA,5
Altima Telecom,CA,5
"Chunghwa Telecom Co., Ltd.",TW,5
BHP BILLITON IRON ORE PTY. LTD.,AU,5
HKBN Enterprise Solutions HK Limited,HK,5
"Wuxiang Cloud Valley Co., Ltd",CN,5
WorldLink Communications,NP,5
GLOBAL ONE,US,5
Enterprise Managed Services Sdn. Bhd.,MY,5
Aureon Network Services,US,5
ONBOARDCLOUD PTE. LTD.,SG,5
PeaceWeb Group B.V.,NL,5
Hosting.de GmbH,DE,5
ResetData Pty Ltd,AU,5
Horyzont Technologie Internetowe sp.z.o.o.,PL,5
"Highline Services, LLC",US,5
"LLC ""ID STRATEGY""",UA,5
"Supply Frame, Inc.",US,5
Melbikomas UAB,LT,5
African Network Information Center - (AfriNIC) Ltd,MU,5
MoeDove LLC,US,5
"Centerview Partners, LLC",US,5
"Springer Nature America, INC",US,5
"Aiyun Technology Co.,Ltd",CN,5
YTL Communications Sdn Bhd,MY,5
Disney Streaming Services,US,5
Pittsburgh Supercomputing Center,US,5
Tech Futures Interactive Inc.,CA;US,5
ARIN,,5
APNIC Research and Development,AU,5
NEAROUTE LIMITED,HK,5
Mango Teleservices Limited,BD,5
NAMEX CONSORZIO,IT,5
Binero AB,SE,5
GENERAL MOTORS OVERSEAS DISTRIBUTION LLC,SG,5
"Sky Digital Co., Ltd.",TW,5
PT. NTT Indonesia,ID,5
"Wuxi Shanghang Data Co., Ltd.",CN,5
Gluecklich GmbH,CH,5
Los Alamos National Laboratory,US,5
FreeConferenceCall.com,US,5
User Association of Ukrainian Research and Academic Network URAN,UA,5
"Dealertrack, Inc.",US,5
Truenetwork LLC,RU,5
"SiChuan XunYou Network Technologe Limit, co",CN,5
ULTIMATE SOFTWARE GROUP,US,5
Game Insight UAB,LT,5
"trafficforce, UAB",LT,5
PGE Systemy S.A.,PL,5
Accretive Networks,US,5
University of Warsaw,PL,5
Redlimtech Limited,CY,5
SIANG YU SCIENCE AND TECHNOLOGY LIMITED,US,5
Tomato Web (Pvt) Limited,BD,5
Perviy TSOD LLC,RU,5
Fulcrum Services LLC,US,5
"Wisper ISP, LLC",US,5
GlobalConnect Group,DK,5
LIQUIDNET HOLDINGS INC.,US,5
PogoZone,US,5
IMS Health India Pvt Ltd,IN,5
SkyNet Ltd.,RU,5
Fibrasur Operadores S.L.,ES,5
PenTeleData Inc.,US,5
Equinix (Finland) Oy,FI,5
ungleich glarus ag,CH,5
Taiwan Academic Network (TANet) Information Center,TW,5
June Slater,US,5
TSK LLC,RU,5
3nt solutions LLP,GB,5
CEnet Limited,AU,5
NATIONAL TELECOM PLC,TH,5
PT Maxindo Mitra Solusi,ID,5
DT Iletisim Hizmetleri A.S.,TR,5
"Cologix, Inc",US,5
Cloud Sync Inc,US,5
Angelnet Limited,SC,5
Infracom Managed Services AB,SE,5
"Rackdog, LLC",US,5
Ucom CJSC,AM,5
"SIA ""Piter-IX""",LV,5
Innodata-Isogen India Pvt Ltd,IN,5
"West Technology Group, LLC",US,5
Hillside (Australia New Media) Pty Ltd,AU,5
Planet Networks,US,5
Cyber Internet Services (Private) Limited,PK,5
Uniserve On Line,CA,5
Data102,US,5
617A Corporation,US,5
"Limited Liability Company ""KYIVSKI TELEKOMUNIKATSIYNI MEREZHI""",UA,5
PT. Dunia Virtual Online,ID,5
Ting Fiber Inc.,US,5
"Kamatera, Inc.",US,5
Macroview Telecom Limited,HK,5
Bundesministerium des Innern und fuer Heimat,DE,5
Federated States of Micronesia Telecomm. Corporation,FM,5
ARPCE,CG,5
Buroserv Australia Pty Ltd,AU,5
"Big Sky Services, Inc.",US,5
SC TECHNOLOGICAL SRL,RO,5
Kauno Technologijos Universitetas,LT,5
Sigma Software LLC,UA,5
Opticomm Co Pty Ltd,AU,5
TAIPEI101 NETWORK LLC,US,5
w1n ltd,GB,5
OOO FREEnet Group,RU,5
Imprezzio Inc,US,5
Beijing Guanghuan Xinwang Digital,CN,5
"Enterprise Holdings, Inc.",US,4
The Cloud Crew (Pty) Ltd,ZA,4
Radiant Communications Ltd,BD,4
SKB Kontur Production JSC,RU,4
"BBIX,Inc.",JP,4
Sergey Cherentayev,RU,4
LANLIAN INTERNATIONAL HOLDING GROUP LIMITED,HK,4
The State Information Center of P.R.China,CN,4
Kew Solutions Unipessoal Lda,PT,4
OPTAGE Inc.,JP,4
Fredrik Holmqvist,SE,4
Procter & Gamble Service GmbH,DE,4
"JSC ""RetnNet""",RU,4
NeocomISP Limited,KH,4
Victoria's Secret,US,4
PT Cyber Network Indonesia,ID,4
Virtual Radiologic Corporation,US,4
"Velocity Networks, Inc.",US,4
bdHUB,BD,4
mPlatform LLC,US,4
DE-CIX Asia PTE. LTD.,SG,4
CRELCOM LLC,RU,4
ITGLOBAL.COM RUS Ltd,RU,4
HMH,US,4
Lancom Ltd.,GR;RU,4
DataArt Technologies UK Ltd,GB,4
"Syniverse Technologies, LLC",US,4
PT. DEWATA TELEMATIKA,ID,4
Hezardastan Unit Cloud Computing PJSC,IR,4
Fiberworld Communication Private Limited,NP,4
PS Internet Company LLP,KZ,4
OOO Suntel,RU,4
Critical Core BV,NL,4
DISKOMINFO TANGERANG SELATAN,ID,4
7P SERVICIOS INTEGRADOS SLU,ES,4
CardGate.net Pty Ltd,AU,4
Travelers Property Casualty Corp.,US,4
Total Access Communication PLC.,TH,4
"SARA Plus, LLC",US,4
Hayes Computer Systems,US,4
HANATI,KR,4
Celcom Axiata Berhad,MY,4
"Travelport Operations, Inc.",US,4
.au Domain Administration,AU,4
Arend Brouwer,NL,4
Managed Solutions Pty Ltd,AU,4
"Genesys Telecommunications Laboratories,Inc.",US,4
Liberty Communications of Puerto Rico LLC,US,4
Kordia Limited,NZ,4
University of Massachusetts - AMHERST,US,4
"VC3, Inc.",US,4
Sarah Rossius trading as Servperso Systems,BE,4
Nexware,AU,4
GLOBAL COMMUNICATION NETWORK LIMITED,HK,4
