iyp_org_name,iyp_countries,iyp_n_as,tier,candidates,candidate_names
Toya sp.z.o.o,PL,6,legal_core,259400A803VVMK5TTW96;259400ZNCJSNT4JBBE60,"""TOYA"" SPÓŁKA AKCYJNA [ACTIVE] | ""TOYA""-SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ [ACTIVE]"
Libra S.R.L.,IT,1,legal_exact,529900GDURZ0W5O5UK45;81560024F4C528FC1360;8156003511BB00AB3451;81560063DBBCBF112009;8156006627D08B620546;8156007EDE4D81980E51;815600B8FFEA44E59631;815600BD4B8AEABBAD39;815600BE0AFF78373647;815600E96FB017137343;815600F5E5B0150D2796;9845008UF2E55EA38267;984500E6DDBA6A147D22,LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE] | LIBRA S.R.L. [ACTIVE]
Terna S.p.A.,IT,1,legal_core,815600C8942E47571257;815600D64186F27AC264,TERNA SRL [ACTIVE] | TERNA S.R.L. [ACTIVE]
Fujitsu Limited,,0,legal_exact_nocountry,213800QZ9TDPFS7X7D37;213800TQMEDJ62ZUMW71,FUJITSU (IRELAND) LIMITED [ACTIVE] | FUJITSU (FTS) LIMITED [ACTIVE]
Alan,,1,legal_exact_nocountry,967600410JR3HSDEGU03;9695005UN2ATG3Y1ME74;98450006G2E864EL5F45,ALAN [ACTIVE] | ALAN [ACTIVE] | ALAN [ACTIVE]
MAX.SRL,DE,0,legal_core,39120059V5TQRNNQQU47;391200K9NCGYPKT13Y58,Max GmbH [ACTIVE] | Max Investments GmbH [ACTIVE]
Redwood,,1,legal_exact_nocountry,5493001WRXQTCKCA6205;969500W2JJI6KRGVF249,REDWOOD [ACTIVE] | REDWOOD [ACTIVE]
MULTI SERVICE S.R.L.S.,IT,0,fuzzy,529900OCJ8HG4V0DKU07;8156008118B6DAF2ED97,MULTI SERVICE SRL [ACTIVE] | FHP TERMINAL VENEZIA S.R.L. [ACTIVE]
Boom Communications,US,1,legal_core,25490057L5H8EFCHGB37;549300L6XUCGPFVA0566,"BOOM, INC. [ACTIVE] | Boom, Inc. [ACTIVE]"
"United Rentals (North America), Inc.",US,1,legal_exact,5323X5O7RN0NKFCDRY08;NGIZXNT70J2LYT3FBI09,"UNITED RENTALS, INC. [ACTIVE] | UNITED RENTALS (NORTH AMERICA), INC. [ACTIVE]"
